"Tabela 6804 - Domicílios particulares permanentes ocupados, por existência de canalização de água e principal forma de abastecimento de água"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Ano x Principal forma de abastecimento de água"
"Nível";"Cód.";"Município";"Existência de canalização de água";"2022"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Total";"Rede geral de distribuição";"Poço profundo ou artesiano";"Poço raso, freático ou cacimba";"Fonte, nascente ou mina";"Carro-pipa";"Água da chuva armazenada";"Rios, açudes, córregos, lagos e igarapés";"Outra"
"MU";"3302056";"Italva (RJ)";"Canalizada, mas apenas no terreno";"57";"34";"13";"-";"2";"4";"-";"1";"3"
"MU";"3302056";"Italva (RJ)";"Sem água canalizada";"38";"-";"13";"3";"1";"10";"-";"1";"10"
"MU";"3302106";"Itaocara (RJ)";"Total";"9046";"7364";"1290";"225";"118";"7";"-";"30";"12"
"MU";"3302106";"Itaocara (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"9002";"7354";"1277";"218";"113";"7";"-";"28";"5"
"MU";"3302106";"Itaocara (RJ)";"Canalizada, mas apenas no terreno";"28";"10";"10";"3";"4";"-";"-";"1";"-"
"MU";"3302106";"Itaocara (RJ)";"Sem água canalizada";"16";"-";"3";"4";"1";"-";"-";"1";"7"
"MU";"3302205";"Itaperuna (RJ)";"Total";"38479";"35384";"1427";"488";"958";"8";"3";"60";"151"
"MU";"3302205";"Itaperuna (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"38211";"35274";"1364";"467";"934";"5";"3";"55";"109"
"MU";"3302205";"Itaperuna (RJ)";"Canalizada, mas apenas no terreno";"183";"110";"38";"11";"15";"2";"-";"1";"6"
"MU";"3302205";"Itaperuna (RJ)";"Sem água canalizada";"85";"-";"25";"10";"9";"1";"-";"4";"36"
"MU";"3302254";"Itatiaia (RJ)";"Total";"11374";"10106";"38";"28";"1077";"71";"-";"45";"9"
"MU";"3302254";"Itatiaia (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"11278";"10055";"37";"26";"1053";"61";"-";"41";"5"
"MU";"3302254";"Itatiaia (RJ)";"Canalizada, mas apenas no terreno";"68";"51";"1";"2";"9";"1";"-";"4";"-"
"MU";"3302254";"Itatiaia (RJ)";"Sem água canalizada";"28";"-";"-";"-";"15";"9";"-";"-";"4"
"MU";"3302270";"Japeri (RJ)";"Total";"32110";"19877";"10036";"946";"275";"77";"21";"112";"766"
"MU";"3302270";"Japeri (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"29803";"19098";"8979";"759";"258";"63";"14";"91";"541"
"MU";"3302270";"Japeri (RJ)";"Canalizada, mas apenas no terreno";"1497";"779";"509";"121";"6";"6";"1";"17";"58"
"MU";"3302270";"Japeri (RJ)";"Sem água canalizada";"810";"-";"548";"66";"11";"8";"6";"4";"167"
"MU";"3302304";"Laje do Muriaé (RJ)";"Total";"2728";"2084";"435";"39";"162";"-";"2";"2";"4"
"MU";"3302304";"Laje do Muriaé (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"2714";"2079";"432";"38";"162";"-";"-";"2";"1"
"MU";"3302304";"Laje do Muriaé (RJ)";"Canalizada, mas apenas no terreno";"7";"5";"1";"1";"-";"-";"-";"-";"-"
"MU";"3302304";"Laje do Muriaé (RJ)";"Sem água canalizada";"7";"-";"2";"-";"-";"-";"2";"-";"3"
"MU";"3302403";"Macaé (RJ)";"Total";"92716";"75306";"11595";"496";"2212";"1760";"35";"212";"1100"
