"Tabela 6805 - Domicílios particulares permanentes ocupados, por tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Ano x Tipo de esgotamento sanitário"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário"
"MU";"3304151";"Quissamã (RJ)";"100,00000";"76,93542";"74,10791";"2,82751";"15,45870";"7,07495";"0,28399";"0,14817";"0,07408";"0,02469"
"MU";"3304201";"Resende (RJ)";"100,00000";"93,85152";"91,70660";"2,14492";"2,05779";"2,03497";"0,93555";"1,05171";"0,06223";"0,00622"
"MU";"3304300";"Rio Bonito (RJ)";"100,00000";"76,81597";"41,55378";"35,26219";"8,26922";"3,84670";"6,83438";"3,99301";"0,22655";"0,01416"
"MU";"3304409";"Rio Claro (RJ)";"100,00000";"55,68200";"46,17303";"9,50896";"8,27747";"8,19953";"2,50974";"25,05066";"0,26500";"0,01559"
"MU";"3304508";"Rio das Flores (RJ)";"100,00000";"73,83088";"67,39270";"6,43818";"4,06791";"2,75464";"1,34529";"17,96925";"-";"0,03203"
"MU";"3304524";"Rio das Ostras (RJ)";"100,00000";"62,45746";"52,69261";"9,76485";"34,22946";"2,20420";"0,35044";"0,19130";"0,55190";"0,01524"
"MU";"3304557";"Rio de Janeiro (RJ)";"100,00000";"94,89867";"92,14623";"2,75243";"1,09915";"0,39135";"2,08607";"1,30970";"0,20312";"0,01194"
"MU";"3304607";"Santa Maria Madalena (RJ)";"100,00000";"49,81198";"47,83154";"1,98045";"11,15568";"12,45926";"5,86613";"20,20557";"0,45124";"0,05014"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"100,00000";"84,64943";"83,89707";"0,75236";"4,31182";"1,99153";"5,51306";"3,41405";"0,12012";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"100,00000";"3,20639";"1,09966";"2,10673";"1,66686";"90,87857";"0,32990";"3,52471";"0,21993";"0,17363"
