ano,id_cid_principal,doenca,categoria,id_municipio_paciente,municipio_paciente,populacao_municipio_paciente,id_municipio_estabelecimento_aih,municipio_estabelecimento_aih,populacao_municipio_estabelecimento_aih,total_internacoes
2017,A91,Dengue Hemorrágica,Vetor,3303500,Nova Iguaçu,798647,3303500,Nova Iguaçu,798647,33
2024,A90,Dengue,Vetor,3302700,Maricá,211986,3303500,Nova Iguaçu,843046,33
2016,A90,Dengue,Vetor,3305000,São João da Barra,34884,3301009,Campos dos Goytacazes,487186,33
2014,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,227168,3304904,São Gonçalo,1031903,33
2023,A91,Dengue Hemorrágica,Vetor,3301850,Guapimirim,51696,3301850,Guapimirim,51696,32
2022,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,197277,3304904,São Gonçalo,896744,32
2024,A90,Dengue,Vetor,3301850,Guapimirim,54300,3303500,Nova Iguaçu,843046,32
2019,A09,Diarreia e Gastroenterite,Hídrica,3304300,Rio Bonito,60201,3304300,Rio Bonito,60201,32
2019,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,821128,3303500,Nova Iguaçu,821128,31
2020,A90,Dengue,Vetor,3301900,Itaboraí,242543,3301900,Itaboraí,242543,31
2024,A09,Diarreia e Gastroenterite,Hídrica,3304300,Rio Bonito,59113,3304557,Rio de Janeiro,6729894,31
2020,A09,Diarreia e Gastroenterite,Hídrica,3301850,Guapimirim,61388,3301850,Guapimirim,61388,31
2017,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,798647,3303500,Nova Iguaçu,798647,30
2016,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,230786,3304300,Rio Bonito,57963,30
2017,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,232394,3304904,São Gonçalo,1049826,30
2021,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,825388,3301702,Duque de Caxias,929449,30
2024,A01,Febre Tifóide e Paratifóide,Hídrica,3303500,Nova Iguaçu,843046,3303500,Nova Iguaçu,843046,30
2023,A09,Diarreia e Gastroenterite,Hídrica,3301850,Guapimirim,51696,3302502,Magé,228127,30
2017,A90,Dengue,Vetor,3305000,São João da Barra,35174,3301009,Campos dos Goytacazes,490288,30
2018,A91,Dengue Hemorrágica,Vetor,3301900,Itaboraí,238695,3301900,Itaboraí,238695,30
2018,A90,Dengue,Vetor,3301900,Itaboraí,238695,3304904,São Gonçalo,1077687,30
2014,A90,Dengue,Vetor,3302270,Japeri,99141,3304144,Queimados,142709,29
2016,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,797435,3301702,Duque de Caxias,886917,28
2022,A90,Dengue,Vetor,3304300,Rio Bonito,56276,3304300,Rio Bonito,56276,28
2024,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,843046,3303302,Niterói,516720,28
2023,A91,Dengue Hemorrágica,Vetor,3305000,São João da Barra,36573,3301009,Campos dos Goytacazes,483540,27
2019,A09,Diarreia e Gastroenterite,Hídrica,3300100,Angra dos Reis,203785,3304557,Rio de Janeiro,6718903,27
2022,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,224267,3303302,Niterói,481749,27
2014,A09,Diarreia e Gastroenterite,Hídrica,3302270,Japeri,99141,3303609,Paracambi,49120,27
2023,A90,Dengue,Vetor,3302700,Maricá,197277,3301900,Itaboraí,224267,26
2014,A90,Dengue,Vetor,3302700,Maricá,143111,3303302,Niterói,495470,26
2022,A90,Dengue,Vetor,3302270,Japeri,96289,3304557,Rio de Janeiro,6211223,26
2016,A09,Diarreia e Gastroenterite,Hídrica,3302270,Japeri,100562,3303609,Paracambi,50071,26
2024,A90,Dengue,Vetor,3301900,Itaboraí,240040,3300258,Arraial do Cabo,32794,26
2023,A91,Dengue Hemorrágica,Vetor,3301900,Itaboraí,224267,3301900,Itaboraí,224267,25
2021,A09,Diarreia e Gastroenterite,Hídrica,3300100,Angra dos Reis,210171,3300100,Angra dos Reis,210171,25
2018,A91,Dengue Hemorrágica,Vetor,3304300,Rio Bonito,59814,3304300,Rio Bonito,59814,25
2023,A90,Dengue,Vetor,3303500,Nova Iguaçu,785867,3304557,Rio de Janeiro,6211223,24
2023,A90,Dengue,Vetor,3303500,Nova Iguaçu,785867,3300456,Belford Roxo,483087,24
2021,A09,Diarreia e Gastroenterite,Hídrica,3302270,Japeri,106296,3304557,Rio de Janeiro,6775561,24
2021,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,167668,3303302,Niterói,516981,24
2015,A90,Dengue,Vetor,3303500,Nova Iguaçu,807492,3303500,Nova Iguaçu,807492,24
2014,A90,Dengue,Vetor,3301850,Guapimirim,55626,3301850,Guapimirim,55626,23
2019,A90,Dengue,Vetor,3301900,Itaboraí,240592,3301900,Itaboraí,240592,23
2018,A90,Dengue,Vetor,3305000,São João da Barra,36138,3301009,Campos dos Goytacazes,503424,23
2024,A90,Dengue,Vetor,3303500,Nova Iguaçu,843046,3301702,Duque de Caxias,866347,23
2014,A90,Dengue,Vetor,3303500,Nova Iguaçu,806177,3300456,Belford Roxo,479386,22
2018,A09,Diarreia e Gastroenterite,Hídrica,3304300,Rio Bonito,59814,3304557,Rio de Janeiro,6688927,22
2016,A90,Dengue,Vetor,3302700,Maricá,149876,3301900,Itaboraí,230786,22
2023,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,224267,3304557,Rio de Janeiro,6211223,22
2024,A90,Dengue,Vetor,3304110,Porto Real,21064,3304201,Resende,137612,22
2016,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,149876,3304557,Rio de Janeiro,6498837,22
2018,A90,Dengue,Vetor,3302700,Maricá,157789,3304904,São Gonçalo,1077687,21
2017,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,232394,3304300,Rio Bonito,58272,21
2020,A09,Diarreia e Gastroenterite,Hídrica,3302270,Japeri,105548,3304557,Rio de Janeiro,6747815,21
2016,A91,Dengue Hemorrágica,Vetor,3301900,Itaboraí,230786,3301900,Itaboraí,230786,20
2014,A91,Dengue Hemorrágica,Vetor,3303500,Nova Iguaçu,806177,3304557,Rio de Janeiro,6453682,20
2019,A90,Dengue,Vetor,3303500,Nova Iguaçu,821128,3304557,Rio de Janeiro,6718903,20
2015,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,229007,3304300,Rio Bonito,57615,20
2024,A09,Diarreia e Gastroenterite,Hídrica,3304110,Porto Real,21064,3304128,Quatis,14158,20
2022,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,785867,3303500,Nova Iguaçu,785867,20
2019,A90,Dengue,Vetor,3303500,Nova Iguaçu,821128,3303500,Nova Iguaçu,821128,20
2014,A91,Dengue Hemorrágica,Vetor,3300100,Angra dos Reis,184940,3300100,Angra dos Reis,184940,19
2024,A90,Dengue,Vetor,3304110,Porto Real,21064,3300407,Barra Mansa,181688,19
2015,A09,Diarreia e Gastroenterite,Hídrica,3304110,Porto Real,18266,3304557,Rio de Janeiro,6476631,19
2024,A90,Dengue,Vetor,3303500,Nova Iguaçu,843046,3305109,São João de Meriti,466536,19
2023,A09,Diarreia e Gastroenterite,Hídrica,3304110,Porto Real,20373,3304110,Porto Real,20373,19
2018,A09,Diarreia e Gastroenterite,Hídrica,3304110,Porto Real,19381,3304110,Porto Real,19381,19
2024,A90,Dengue,Vetor,3303500,Nova Iguaçu,843046,3305554,Seropédica,84737,19
2015,A91,Dengue Hemorrágica,Vetor,3304300,Rio Bonito,57615,3304557,Rio de Janeiro,6476631,19
2024,A91,Dengue Hemorrágica,Vetor,3305000,São João da Barra,38708,3305000,São João da Barra,38708,18
2021,A09,Diarreia e Gastroenterite,Hídrica,3305000,São João da Barra,36731,3305000,São João da Barra,36731,18
2017,A90,Dengue,Vetor,3301900,Itaboraí,232394,3301900,Itaboraí,232394,18
2014,A09,Diarreia e Gastroenterite,Hídrica,3305000,São João da Barra,34273,3301009,Campos dos Goytacazes,480648,18
2024,A90,Dengue,Vetor,3303500,Nova Iguaçu,843046,3302007,Itaguaí,123980,18
2023,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,224267,3304904,São Gonçalo,896744,18
2015,A09,Diarreia e Gastroenterite,Hídrica,3305000,São João da Barra,34583,3305000,São João da Barra,34583,18
2015,A90,Dengue,Vetor,3302270,Japeri,99863,3303609,Paracambi,49521,18
2020,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,242543,3303302,Niterói,515317,18
